排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,产学研合作（校企合作论文·篇）,成果转化（技术转让收入·千元）,
38,中国农业大学,北京市,48.9,71.8,96.51%,10723,1.028,148,12,104791,114,3128,
38,中国石油大学（北京）,北京市,48.9,72.1,97.18%,5460,0.654,43,1,377656,1459,587,
40,北京化工大学,北京市,48.6,69.4,97.85%,7219,1.063,156,9,262647,228,11827,
40,北京交通大学,北京市,48.6,77.7,98.18%,9034,0.708,121,4,362307,226,290,
42,南京理工大学,江苏省,48.5,74.3,94.43%,8788,0.806,139,6,525845,159,15682,
43,华北电力大学（北京）,北京市,48.2,75.2,97.50%,6745,0.838,81,4,161275,554,901,
44,北京邮电大学,北京市,48.1,79.7,99.54%,6070,0.754,109,1,228657,208,310,
45,西安电子科技大学,陕西省,47.6,74.2,97.15%,9682,0.759,157,7,157262,174,47,
46,武汉理工大学,湖北省,47.4,71.0,94.20%,6590,0.948,167,6,376232,83,17533,
46,上海大学,上海市,47.4,64.0,98.55%,9502,0.954,164,6,489973,214,3476,
48,华中师范大学,湖北省,47.3,69.9,95.24%,3502,1.418,110,3,7477,25,20,
48,东北大学,辽宁省,47.3,71.4,95.00%,10544,0.693,139,8,336682,339,431,
50,东北师范大学,吉林省,47.1,68.1,99.25%,4122,1.261,112,10,7427,19,0,
51,东华大学,上海市,47,68.0,97.72%,4630,1.218,155,5,119830,21,7420,
52,福州大学,福建省,46.7,65.2,95.21%,4793,1.261,151,8,8328,32,83280,
53,首都医科大学,北京市,46.5,72.2,96.30%,11713,0.843,99,4,13399,109,500,
53,兰州大学,甘肃省,46.5,70.7,88.62%,8958,1.043,144,9,79717,53,0,
55,江南大学,江苏省,46.3,68.5,97.04%,6282,1.025,122,5,226084,58,6082,
56,合肥工业大学,安徽省,45.6,64.8,96.56%,5412,0.892,101,1,243850,64,247540,
57,南京医科大学,江苏省,45.5,67.5,96.46%,8265,1.012,102,7,21291,44,0,
58,中国海洋大学,山东省,45.3,72.2,91.02%,6041,0.923,95,3,174490,96,8150,
59,中国矿业大学,江苏省,45.2,65.8,99.01%,8848,0.779,102,2,396230,161,1770,
60,暨南大学,广东省,44.6,71.7,97.10%,5969,0.861,67,3,27509,24,3125,
61,西南大学,重庆市,44.4,64.3,96.54%,5631,1.067,105,6,73111,30,460,
62,南京农业大学,江苏省,44.3,63.6,97.31%,6276,1.053,65,7,99070,22,9370,
62,河海大学,江苏省,44.3,70.5,96.19%,5967,0.713,66,1,334646,140,602,
64,哈尔滨工程大学,黑龙江省,44.2,71.8,94.82%,7240,0.69,83,3,139217,104,2120,
65,华中农业大学,湖北省,44,64.8,93.20%,5169,1.076,61,10,63687,31,293,
